nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
Ecole Fondamentale DOUGOUNINA 2e Cycle;ML;Bougouni;Commune urbaine de Bougouni;École fondamentale;MLI-0106;Public;2024-2025
MEDERSA MANAKOT;ML;Kita;Commune rurale Namala Guimbala;École fondamentale;MLI-0107;Privé (médersa);2024-2025
MEDERSA DJIDIAN 2 C;ML;Kita;Commune rurale Djidian;École fondamentale;MLI-0108;Privé (médersa);2024-2025
MEDERSA DJIDIAN 1ER Cycle;ML;Kita;Commune rurale Djidian;École fondamentale;MLI-0109;Privé (médersa);2024-2025
MEDERSA TOFASSADA;ML;Kita;Commune rurale Djidian;École fondamentale;MLI-0110;Privé (médersa);2024-2025
MEDERSA FOUNTICO;ML;Kita;Commune rurale Djidian;École fondamentale;MLI-0111;Privé (médersa);2024-2025
Medersa MANAROUL ILMI 1er Cycle;ML;Kita;Commune rurale Djidian;École fondamentale;MLI-0112;Privé (médersa);2024-2025
MEDERSA SANDIAMB;ML;Kita;Commune rurale Djidian;École fondamentale;MLI-0113;Privé (médersa);2024-2025
Medersa NOURDINE;ML;Kita;Commune urbaine Kita;École fondamentale;MLI-0114;Privé (médersa);2024-2025
Medersa TARIBIATOUL BANINA;ML;Kita;Commune urbaine Kita;École fondamentale;MLI-0115;Privé (médersa);2024-2025
Medersa DARLI HADISSOU DE S;ML;Kita;Commune urbaine Kita;École fondamentale;MLI-0116;Privé (médersa);2024-2025
Université de Gao (U-Gao);ML;Gao;Gao;Université;MLI-0117;Public;2024-2025
Université de Kayes (UKA);ML;Kayes;Kayes;Université;MLI-0118;Public;2024-2025
Université de Ségou;ML;Ségou;Ségou;Université;MLI-0119;Public;2024-2025
Université de Sikasso;ML;Sikasso;Sikasso;Université;MLI-0120;Public;2024-2025
Université de Tombouctou (U-Tombouctou);ML;Tombouctou;Tombouctou;Université;MLI-0121;Public;2024-2025
Université des Sciences Sociales et de Gestion de Bamako (USSGB);ML;Bamako;Bamako;Université;MLI-0122;Public;2024-2025
Université des Sciences, des Techniques et des Technologies de Bamako (USTTB);ML;Bamako;Bamako;Université;MLI-0123;Public;2024-2025
Université Kurukanfuga de Bamako (UKB);ML;Bamako;Bamako;Université;MLI-0124;Public;2024-2025
Université Polytechnique de Bandiagara (UPB);ML;Bandiagara;Bandiagara;Université;MLI-0125;Public;2024-2025
Université Yambo OUOLOGUEM de Bamako (UYOB);ML;Bamako;Bamako;Université;MLI-0126;Public;2024-2025
Centre d’Intelligence Artificielle et de Robotique du Mali (CIAR-Mali);ML;Bamako;Bamako;Université;MLI-0127;Public;2024-2025
Centre de Recherche et de Formation pour l’Industrie Légère et Textile (CERFILTEX);ML;Bamako;Bamako;Université;MLI-0128;Public;2024-2025
Ecole Nationale d’Ingénieurs / Abderhamane Baba Touré (ENI-ABT);ML;Bamako;Bamako;Université;MLI-0129;Public;2024-2025
Ecole Normale d’Enseignement Technique et Professionnel (ENETP);ML;Bamako;Bamako;Université;MLI-0130;Public;2024-2025
Ecole Normale Supérieure (ENSUP);ML;Bamako;Bamako;Université;MLI-0131;Public;2024-2025
Ecole Supérieure de Journalisme et des Sciences de la Communication (ESJSC);ML;Bamako;Bamako;Université;MLI-0132;Public;2024-2025
Institut de Pédagogie Universitaire (IPU);ML;Bamako;Bamako;Université;MLI-0133;Public;2024-2025
Institut des Hautes Études et de Recherche en Sciences Islamiques (IHERI-ABT);ML;Bamako;Bamako;Université;MLI-0134;Public;2024-2025
Institut National de Formation des Travailleurs Sociaux (INFTS);ML;Bamako;Bamako;Université;MLI-0135;Public;2024-2025
Institut National de Formation en Sciences de la Santé (INFSS);ML;Bamako;Bamako;Université;MLI-0136;Public;2024-2025
Institut National de la Jeunesse et des Sports (INJS);ML;Bamako;Bamako;Université;MLI-0137;Public;2024-2025
Institut Polytechnique Rural de Formation et de Recherche Appliquée (IPR/IFRA);ML;Koulikoro;Katibougou / Koulikoro;Université;MLI-0138;Public;2024-2025
Institut Zayed des Sciences Economiques et Juridiques (IZSEJ);ML;Bamako;Bamako;Université;MLI-0139;Public;2024-2025
African Business Private School ABPS;ML;Bamako;Hamdallaye ACI 2000;Université;MLI-0140;Privé;2024-2025
Bamako Business School BBS;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0141;Privé;2024-2025
Centre de Formation des Techniciens Socio Sanitaires CFTSS;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0142;Privé;2024-2025
Centre de Formation des Techniciens Socio Sanitaires CFTSS;ML;Ségou;Ségou;Université;MLI-0143;Privé;2024-2025
Centre de Formation en Banque et Micro Finance CFBF;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0144;Privé;2024-2025
Centre de Formation et d’Appui Conseil pour le Développement Local DELTA-C;ML;;Non précisé;Université;MLI-0145;Privé;2024-2025
Centre du Droit Bancaire et des Affaires CDBA;ML;Bamako;Bamako-Hamdallaye;Université;MLI-0146;Privé;2024-2025
Centre d’Etudes et de Formation en Informatique et Bureautique CEFIB;ML;Bamako;Bamako-Quinzambougou;Université;MLI-0147;Privé;2024-2025
Centre d’Etudes Supérieures en Informatique, Gestion et Marketing CESIGEM;ML;Bamako;Bamako-Sogoniko;Université;MLI-0148;Privé;2024-2025
Centre d’Ingénierie des Techniques d’Entreprenariat et de Métiers CITEM;ML;Bamako;Bamako-Djélibougou;Université;MLI-0149;Privé;2024-2025
Centre d’Ingénierie et de Formation en Energie et Développement Durable CIFED;ML;Koulikoro;Kati-Kôkô-Plateau;Université;MLI-0150;Privé;2024-2025
Centre Privé d’Etudes Supérieures des Techniques Comptables et Commerciales CPESTC;ML;Bamako;Kalabancoura - Bamako;Université;MLI-0151;Privé;2024-2025
Centre Privé d’Enseignement Supérieur de Kalabancoro CPESK;ML;Bamako;Bamako-Kalabancoro Nèrè coro;Université;MLI-0152;Privé;2024-2025
Centre Privé Vicenta Maria Sciences de la Santé CPVMSS;ML;Ségou;Ségou-Médine;Université;MLI-0153;Privé;2024-2025
Centre Supérieur de Formation en Gestion CSFG;ML;Bamako;Bamako-Hamdallaye;Université;MLI-0154;Privé;2024-2025
Centre Supérieur Privé de Formation Agropastorale Boubou SOW CSPFA-BS;ML;Kayes;Soutoucoulé - Kayes;Université;MLI-0155;Privé;2024-2025
Centre Supérieur Privé de Formation des Infirmier de Kayes CPFIK-SUP;ML;Kayes;Khasso - Kayes ville;Université;MLI-0156;Privé;2024-2025
Centre Technique de Formation Santé Plus CTFSP;ML;Bamako;Bamako-Kalaban-Coura;Université;MLI-0157;Privé;2024-2025
Centre Universitaire Mandé Bukari CUMBU;ML;Bamako;Bamako-ACI 2000;Université;MLI-0158;Privé;2024-2025
Complexe Scolaire et Universitaire privé BAZO CSUP-BAZO;ML;Bamako;Yirimadio ZERNY;Université;MLI-0159;Privé;2024-2025
Complexe Scolaire et Universitaire privé Bazo Annexe CSUP-BAZO Annexe;ML;Bamako;Bamako-Sotuba;Université;MLI-0160;Privé;2024-2025
Complexe Universitaire Polytechnique Privé Balla Traore CUPP-BALLAT;ML;Bamako;Bamako-Boulkassoumbougou;Université;MLI-0161;Privé;2024-2025
Cours Jean d’Arc CJA;ML;Bamako;Bamako-Grand Marché;Université;MLI-0162;Privé;2024-2025
Ecole de Business Bilingue ECOB;ML;Bamako;Bamako-Sotuba;Université;MLI-0163;Privé;2024-2025
Ecole de Formation de Sages-femmes Bouctou;ML;Bamako;Bamako-Sebenikoro;Université;MLI-0164;Privé;2024-2025
Ecole de Formation des infirmiers et Auxiliaires de Santé;ML;Sikasso;Wayerma I, Sikasso;Université;MLI-0165;Privé;2024-2025
Ecole de Formation des Techniciens Socio-Sanitaire EFTSS-Annexe Sikasso;ML;Sikasso;Sikasso ville;Université;MLI-0166;Privé;2024-2025
Ecole de Formation des Techniciens Socio-Sanitaires EFTSS;ML;Bamako;Bamako;Université;MLI-0167;Privé;2024-2025
Ecole de Formation paramédicale et de Formation Continue EFPFC;ML;Mopti;Mopti ville;Université;MLI-0168;Privé;2024-2025
Ecole de Formation Sanitaire EFS;ML;Bamako;Bamako-Faladiè;Université;MLI-0169;Privé;2024-2025
Ecole de Santé Amadou Garba Koita de Mopti ESM-AGK;ML;Mopti;Mopti;Université;MLI-0170;Privé;2024-2025
Ecole de Santé Banan Kokoun ESBK;ML;Bamako;Bamako-Baco-Djicoroni ACI;Université;MLI-0171;Privé;2024-2025
Ecole de Santé Bazo BAZO;ML;Bamako;Bamako-Banankabougou;Université;MLI-0172;Privé;2024-2025
Ecole de Santé Bazo Rive Gauche ESBRG;ML;Bamako;Bamako-Kalaban-Coura ACI;Université;MLI-0173;Privé;2024-2025
Ecole de Santé BOUCTOU de Tombouctou BOUCTOU-Tombouctou;ML;Tombouctou;Tombouctou ville;Université;MLI-0174;Privé;2024-2025
Ecole de Santé de Koutiala Espoir ESK-ESPOIR;ML;Koutiala;Koutiala;Université;MLI-0175;Privé;2024-2025
Ecole de Santé Le Djenné Le Djenné;ML;Bamako;Banankabougou - Bamako;Université;MLI-0176;Privé;2024-2025
Ecole Dentaire de Bamako EDB;ML;Bamako;Bamako-Bolibana;Université;MLI-0177;Privé;2024-2025
Ecole Expert Génie Informatique Supérieure EGI-SUP;ML;Bamako;Bamako-Baco-Djicoroni ACI;Université;MLI-0178;Privé;2024-2025
Ecole Paramédicale des 40 EP40;ML;Bamako;Bamako-Hippodrome;Université;MLI-0179;Privé;2024-2025
Ecole Polytechnique Privée d’Excellence EPPE;ML;Bamako;Hippodrome-Bamako;Université;MLI-0180;Privé;2024-2025
Ecole Pratique de Gestion EPG;ML;Bamako;Bamako-Daoudabougou;Université;MLI-0181;Privé;2024-2025
Ecole Privée de Formation en Sciences de la Santé de Djitoumou EPFSSD;ML;Koulikoro;Ouélessébougou (cercle de Kati);Université;MLI-0182;Privé;2024-2025
Ecole Privée de Médecine et de Pharmacie Fatou DIALLO EPMP-FD;ML;Bamako;Hamdallaye ACI 2000 - Bamako;Université;MLI-0183;Privé;2024-2025
École Privée de Santé ANDAL EPSA;ML;Bamako;Bamako Faladiè;Université;MLI-0184;Privé;2024-2025
Ecole Privée de Santé Félix Houphoët Boigny de Sikasso;ML;Sikasso;Wayerma II, Sikasso;Université;MLI-0185;Privé;2024-2025
Ecole Privée de Santé Félix Houphouët Boigny EPSFé;ML;Bamako;Djélibougou - Bamako;Université;MLI-0186;Privé;2024-2025
Ecole Privée de Santé Hippocrate de Kati EPSH-K;ML;Koulikoro;Kôkô - Kati ville;Université;MLI-0187;Privé;2024-2025
Ecole Privée de Santé Kala Jata EPSKJ;ML;Bamako;Bamako-Kalabancoura;Université;MLI-0188;Privé;2024-2025
Ecole Privée de Santé Kolomba EPSK;ML;Bamako;Bamako-Yirimadio;Université;MLI-0189;Privé;2024-2025
