nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
ECOLE PRIMAIRE CHRETIENNE LE REPETON;CD;Kinshasa;MONT-NGAFUL A;École primaire;P612;Privé;2024-2025
ECOLE PRIMAIRE CHRETIENNE LE REJETON;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P614;Privé;2024-2025
ECOLE MATERNELLE LOBOKO NA YE;CD;Kinshasa;LINGWALA;École maternelle;P617;Privé;2024-2025
ECOLE PRIMAIRE CS LOBKO NA YE;CD;Kinshasa;LINGWALA;École primaire;P618;Privé;2024-2025
ECOLE MONT HERMON / PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P619;Privé;2024-2025
COMPLEXE SCOLAIRE NISI;CD;Kinshasa;KINSHASA;École maternelle;P623;Privé;2024-2025
COMPLEXE SCOLAIRE DANELLA;CD;Kinshasa;MONT-NGAFUL A;École primaire;P628;Privé;2024-2025
COLLEGE MISSIONNAIRE;CD;Kinshasa;KINSHASA;École maternelle;P629;Privé;2024-2025
COLLEGE CHRIST LE VAINQUEUR / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P631;Privé;2024-2025
COMPLEXE SCOLAIRE THE CHILDREN / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P632;Privé;2024-2025
COMPLEXE SCOLAIRE THE CHILDREN FIRIS / SECONDAIRE;CD;Kinshasa;BARUMBU;Lycée;P633;Privé;2024-2025
COMPLEXE SCOLAIRE SACRE COEUR QUERO / MATERNELLE;CD;Kinshasa;BARUMBU;École maternelle;P634;Privé;2024-2025
ECOLE MATERNELLE SAINT ROMBANI / MATERNELLE;CD;Kinshasa;BARUMBU;École maternelle;P635;Privé;2024-2025
COMPLEXE SCOLAIRE SAINT ROMBANI / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P636;Privé;2024-2025
COMPLEXE SCOLAIRE LA BORNE;CD;Kinshasa;NGALIEMA;Lycée;P637;Privé;2024-2025
COMPLEXE SCOLAIRE LA BORNE;CD;Kinshasa;NGALIEMA;Lycée;P637-617;Privé;2024-2025
ECOLE PRIMAIRE SOURCE DU SAVOIR / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P638;Privé;2024-2025
ECOLE MATERNELLE SOURCE DU SAVOIR / MATERNELLE;CD;Kinshasa;BARUMBU;École maternelle;P639;Privé;2024-2025
COLLEGE SAINT DOMINIQUE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P6393;Privé;2024-2025
COMPLEXE SCOLAIRE LEMFU FRANK;CD;Kinshasa;MONT-NGAFUL A;Lycée;P6398;Privé;2024-2025
COMPLEXE SCOLAIRE LEMFU FRANK;CD;Kinshasa;MONT-NGAFUL A;Lycée;P6398-622;Privé;2024-2025
COMPLEXE SCOLAIRE HOMO SAPIENS / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P640;Privé;2024-2025
